Driver,Body,Tires,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG
Mario,Mach 8,Ancient Tires Ancient Tyres,4.0,2.5,3.0,4.0,3.5,3.75,3.75,4.25,3.75,2.25,2.5,2.75,2.5
Mario,Steel Driver,Standard Normal,3.75,2.5,2.5,3.25,3.25,4.0,4.5,3.5,3.25,2.75,3.75,2.75,2.75
Mario,Steel Driver,Monster,4.25,2.0,2.75,3.75,3.0,4.0,4.25,3.5,2.75,2.0,3.25,2.0,2.25
Mario,Steel Driver,Roller,3.25,3.0,2.0,3.0,3.75,3.5,4.5,3.0,3.25,3.0,4.0,3.0,3.0
Mario,Steel Driver,Slim,3.75,2.0,3.0,2.25,3.0,4.25,4.25,4.0,3.0,3.0,4.0,2.75,3.0
Mario,Steel Driver,Slick,4.0,1.75,3.0,2.0,2.5,4.5,3.75,4.0,2.5,2.5,3.0,2.5,2.25
Mario,Steel Driver,Metal,4.25,1.5,2.25,2.5,2.5,4.5,4.5,3.25,3.0,2.5,3.5,2.25,2.0
Mario,Steel Driver,Button,3.25,2.75,2.25,2.75,3.5,3.75,4.25,3.5,3.0,2.75,3.75,3.0,2.5
Mario,Steel Driver,Off-Road,4.0,2.25,2.75,3.5,2.75,4.25,4.75,3.5,2.75,2.25,3.25,2.5,2.5
Mario,Steel Driver,Sponge,3.5,2.5,2.5,3.5,3.5,3.75,4.0,3.25,3.5,2.5,3.25,2.5,2.75
Mario,Steel Driver,Wood Wooden,3.75,2.0,3.0,2.25,3.0,4.25,4.25,4.0,3.0,3.0,4.0,2.75,3.0
Mario,Steel Driver,Cushion,3.5,2.5,2.5,3.5,3.5,3.75,4.0,3.25,3.5,2.5,3.25,2.5,2.75
Mario,Steel Driver,Blue Standard Normal Blue,3.75,2.5,2.5,3.25,3.25,4.0,4.5,3.5,3.25,2.75,3.75,2.75,2.75
Mario,Steel Driver,Hot Monster Funky Monster,4.25,2.0,2.75,3.75,3.0,4.0,4.25,3.5,2.75,2.0,3.25,2.0,2.25
Mario,Steel Driver,Azure Roller,3.25,3.0,2.0,3.0,3.75,3.5,4.5,3.0,3.25,3.0,4.0,3.0,3.0
Mario,Steel Driver,Crimson Slim,3.75,2.0,3.0,2.25,3.0,4.25,4.25,4.0,3.0,3.0,4.0,2.75,3.0
Mario,Steel Driver,Cyber Slick,4.0,1.75,3.0,2.0,2.5,4.5,3.75,4.0,2.5,2.5,3.0,2.5,2.25
Mario,Steel Driver,Retro Off-Road,4.0,2.25,2.75,3.5,2.75,4.25,4.75,3.5,2.75,2.25,3.25,2.5,2.5
Mario,Steel Driver,Gold Tires Gold Wheels,4.25,1.5,2.25,2.5,2.5,4.5,4.5,3.25,3.0,2.5,3.5,2.25,2.0
Mario,Steel Driver,GLA Tires GLA Wheels,3.75,2.5,2.5,3.25,3.25,4.0,4.5,3.5,3.25,2.75,3.75,2.75,2.75
Mario,Steel Driver,Triforce Tires Triforce Tyres,4.0,2.25,2.75,3.5,2.75,4.25,4.75,3.5,2.75,2.25,3.25,2.5,2.5
Mario,Steel Driver,Leaf Tires Leaf Tyres,3.25,2.75,2.25,2.75,3.5,3.75,4.25,3.5,3.0,2.75,3.75,3.0,2.5
Mario,Steel Driver,Ancient Tires Ancient Tyres,4.25,2.0,2.75,3.75,3.0,4.0,4.25,3.5,2.75,2.0,3.25,2.0,2.25
Mario,Cat Cruiser,Standard Normal,3.25,3.5,3.25,3.25,4.0,3.5,3.75,3.75,4.25,3.5,3.0,3.25,3.5
Mario,Cat Cruiser,Monster,3.75,3.0,3.5,3.75,3.75,3.5,3.5,3.75,3.75,2.75,2.5,2.5,3.0
Mario,Cat Cruiser,Roller,2.75,4.0,2.75,3.0,4.5,3.0,3.75,3.25,4.25,3.75,3.25,3.5,3.75
Mario,Cat Cruiser,Slim,3.25,3.0,3.75,2.25,3.75,3.75,3.5,4.25,4.0,3.75,3.25,3.25,3.75
Mario,Cat Cruiser,Slick,3.5,2.75,3.75,2.0,3.25,4.0,3.0,4.25,3.5,3.25,2.25,3.0,3.0
Mario,Cat Cruiser,Metal,3.75,2.5,3.0,2.5,3.25,4.0,3.75,3.5,4.0,3.25,2.75,2.75,2.75
Mario,Cat Cruiser,Button,2.75,3.75,3.0,2.75,4.25,3.25,3.5,3.75,4.0,3.5,3.0,3.5,3.25
Mario,Cat Cruiser,Off-Road,3.5,3.25,3.5,3.5,3.5,3.75,4.0,3.75,3.75,3.0,2.5,3.0,3.25
Mario,Cat Cruiser,Sponge,3.0,3.5,3.25,3.5,4.25,3.25,3.25,3.5,4.5,3.25,2.5,3.0,3.5
Mario,Cat Cruiser,Wood Wooden,3.25,3.0,3.75,2.25,3.75,3.75,3.5,4.25,4.0,3.75,3.25,3.25,3.75
Mario,Cat Cruiser,Cushion,3.0,3.5,3.25,3.5,4.25,3.25,3.25,3.5,4.5,3.25,2.5,3.0,3.5
Mario,Cat Cruiser,Blue Standard Normal Blue,3.25,3.5,3.25,3.25,4.0,3.5,3.75,3.75,4.25,3.5,3.0,3.25,3.5
Mario,Cat Cruiser,Hot Monster Funky Monster,3.75,3.0,3.5,3.75,3.75,3.5,3.5,3.75,3.75,2.75,2.5,2.5,3.0
Mario,Cat Cruiser,Azure Roller,2.75,4.0,2.75,3.0,4.5,3.0,3.75,3.25,4.25,3.75,3.25,3.5,3.75
Mario,Cat Cruiser,Crimson Slim,3.25,3.0,3.75,2.25,3.75,3.75,3.5,4.25,4.0,3.75,3.25,3.25,3.75
Mario,Cat Cruiser,Cyber Slick,3.5,2.75,3.75,2.0,3.25,4.0,3.0,4.25,3.5,3.25,2.25,3.0,3.0
Mario,Cat Cruiser,Retro Off-Road,3.5,3.25,3.5,3.5,3.5,3.75,4.0,3.75,3.75,3.0,2.5,3.0,3.25
Mario,Cat Cruiser,Gold Tires Gold Wheels,3.75,2.5,3.0,2.5,3.25,4.0,3.75,3.5,4.0,3.25,2.75,2.75,2.75
Mario,Cat Cruiser,GLA Tires GLA Wheels,3.25,3.5,3.25,3.25,4.0,3.5,3.75,3.75,4.25,3.5,3.0,3.25,3.5
Mario,Cat Cruiser,Triforce Tires Triforce Tyres,3.5,3.25,3.5,3.5,3.5,3.75,4.0,3.75,3.75,3.0,2.5,3.0,3.25
Mario,Cat Cruiser,Leaf Tires Leaf Tyres,2.75,3.75,3.0,2.75,4.25,3.25,3.5,3.75,4.0,3.5,3.0,3.5,3.25
Mario,Cat Cruiser,Ancient Tires Ancient Tyres,3.75,3.0,3.5,3.75,3.75,3.5,3.5,3.75,3.75,2.75,2.5,2.5,3.0
Mario,Circuit Special,Standard Normal,3.5,2.5,3.0,2.75,3.0,4.25,3.5,4.0,3.75,2.75,2.75,3.0,2.5
Mario,Circuit Special,Monster,4.0,2.0,3.25,3.25,2.75,4.25,3.25,4.0,3.25,2.0,2.25,2.25,2.0
Mario,Circuit Special,Roller,3.0,3.0,2.5,2.5,3.5,3.75,3.5,3.5,3.75,3.0,3.0,3.25,2.75
Mario,Circuit Special,Slim,3.5,2.0,3.5,1.75,2.75,4.5,3.25,4.5,3.5,3.0,3.0,3.0,2.75
Mario,Circuit Special,Slick,3.75,1.75,3.5,1.5,2.25,4.75,2.75,4.5,3.0,2.5,2.0,2.75,2.0
Mario,Circuit Special,Metal,4.0,1.5,2.75,2.0,2.25,4.75,3.5,3.75,3.5,2.5,2.5,2.5,1.75
Mario,Circuit Special,Button,3.0,2.75,2.75,2.25,3.25,4.0,3.25,4.0,3.5,2.75,2.75,3.25,2.25
Mario,Circuit Special,Off-Road,3.75,2.25,3.25,3.0,2.5,4.5,3.75,4.0,3.25,2.25,2.25,2.75,2.25
Mario,Circuit Special,Sponge,3.25,2.5,3.0,3.0,3.25,4.0,3.0,3.75,4.0,2.5,2.25,2.75,2.5
Mario,Circuit Special,Wood Wooden,3.5,2.0,3.5,1.75,2.75,4.5,3.25,4.5,3.5,3.0,3.0,3.0,2.75
Mario,Circuit Special,Cushion,3.25,2.5,3.0,3.0,3.25,4.0,3.0,3.75,4.0,2.5,2.25,2.75,2.5
Mario,Circuit Special,Blue Standard Normal Blue,3.5,2.5,3.0,2.75,3.0,4.25,3.5,4.0,3.75,2.75,2.75,3.0,2.5
Mario,Circuit Special,Hot Monster Funky Monster,4.0,2.0,3.25,3.25,2.75,4.25,3.25,4.0,3.25,2.0,2.25,2.25,2.0
Mario,Circuit Special,Azure Roller,3.0,3.0,2.5,2.5,3.5,3.75,3.5,3.5,3.75,3.0,3.0,3.25,2.75
Mario,Circuit Special,Crimson Slim,3.5,2.0,3.5,1.75,2.75,4.5,3.25,4.5,3.5,3.0,3.0,3.0,2.75
Mario,Circuit Special,Cyber Slick,3.75,1.75,3.5,1.5,2.25,4.75,2.75,4.5,3.0,2.5,2.0,2.75,2.0
Mario,Circuit Special,Retro Off-Road,3.75,2.25,3.25,3.0,2.5,4.5,3.75,4.0,3.25,2.25,2.25,2.75,2.25
Mario,Circuit Special,Gold Tires Gold Wheels,4.0,1.5,2.75,2.0,2.25,4.75,3.5,3.75,3.5,2.5,2.5,2.5,1.75
Mario,Circuit Special,GLA Tires GLA Wheels,3.5,2.5,3.0,2.75,3.0,4.25,3.5,4.0,3.75,2.75,2.75,3.0,2.5
Mario,Circuit Special,Triforce Tires Triforce Tyres,3.75,2.25,3.25,3.0,2.5,4.5,3.75,4.0,3.25,2.25,2.25,2.75,2.25
Mario,Circuit Special,Leaf Tires Leaf Tyres,3.0,2.75,2.75,2.25,3.25,4.0,3.25,4.0,3.5,2.75,2.75,3.25,2.25
Mario,Circuit Special,Ancient Tires Ancient Tyres,4.0,2.0,3.25,3.25,2.75,4.25,3.25,4.0,3.25,2.0,2.25,2.25,2.0
Mario,Tri-Speeder,Standard Normal,3.75,2.5,2.5,3.25,3.25,4.0,4.5,3.5,3.25,2.75,3.75,2.75,2.75
Mario,Tri-Speeder,Monster,4.25,2.0,2.75,3.75,3.0,4.0,4.25,3.5,2.75,2.0,3.25,2.0,2.25
Mario,Tri-Speeder,Roller,3.25,3.0,2.0,3.0,3.75,3.5,4.5,3.0,3.25,3.0,4.0,3.0,3.0
Mario,Tri-Speeder,Slim,3.75,2.0,3.0,2.25,3.0,4.25,4.25,4.0,3.0,3.0,4.0,2.75,3.0
Mario,Tri-Speeder,Slick,4.0,1.75,3.0,2.0,2.5,4.5,3.75,4.0,2.5,2.5,3.0,2.5,2.25
Mario,Tri-Speeder,Metal,4.25,1.5,2.25,2.5,2.5,4.5,4.5,3.25,3.0,2.5,3.5,2.25,2.0
Mario,Tri-Speeder,Button,3.25,2.75,2.25,2.75,3.5,3.75,4.25,3.5,3.0,2.75,3.75,3.0,2.5
Mario,Tri-Speeder,Off-Road,4.0,2.25,2.75,3.5,2.75,4.25,4.75,3.5,2.75,2.25,3.25,2.5,2.5
Mario,Tri-Speeder,Sponge,3.5,2.5,2.5,3.5,3.5,3.75,4.0,3.25,3.5,2.5,3.25,2.5,2.75
Mario,Tri-Speeder,Wood Wooden,3.75,2.0,3.0,2.25,3.0,4.25,4.25,4.0,3.0,3.0,4.0,2.75,3.0
Mario,Tri-Speeder,Cushion,3.5,2.5,2.5,3.5,3.5,3.75,4.0,3.25,3.5,2.5,3.25,2.5,2.75
Mario,Tri-Speeder,Blue Standard Normal Blue,3.75,2.5,2.5,3.25,3.25,4.0,4.5,3.5,3.25,2.75,3.75,2.75,2.75
Mario,Tri-Speeder,Hot Monster Funky Monster,4.25,2.0,2.75,3.75,3.0,4.0,4.25,3.5,2.75,2.0,3.25,2.0,2.25
Mario,Tri-Speeder,Azure Roller,3.25,3.0,2.0,3.0,3.75,3.5,4.5,3.0,3.25,3.0,4.0,3.0,3.0
Mario,Tri-Speeder,Crimson Slim,3.75,2.0,3.0,2.25,3.0,4.25,4.25,4.0,3.0,3.0,4.0,2.75,3.0
Mario,Tri-Speeder,Cyber Slick,4.0,1.75,3.0,2.0,2.5,4.5,3.75,4.0,2.5,2.5,3.0,2.5,2.25
Mario,Tri-Speeder,Retro Off-Road,4.0,2.25,2.75,3.5,2.75,4.25,4.75,3.5,2.75,2.25,3.25,2.5,2.5
Mario,Tri-Speeder,Gold Tires Gold Wheels,4.25,1.5,2.25,2.5,2.5,4.5,4.5,3.25,3.0,2.5,3.5,2.25,2.0
Mario,Tri-Speeder,GLA Tires GLA Wheels,3.75,2.5,2.5,3.25,3.25,4.0,4.5,3.5,3.25,2.75,3.75,2.75,2.75
Mario,Tri-Speeder,Triforce Tires Triforce Tyres,4.0,2.25,2.75,3.5,2.75,4.25,4.75,3.5,2.75,2.25,3.25,2.5,2.5
Mario,Tri-Speeder,Leaf Tires Leaf Tyres,3.25,2.75,2.25,2.75,3.5,3.75,4.25,3.5,3.0,2.75,3.75,3.0,2.5
Mario,Tri-Speeder,Ancient Tires Ancient Tyres,4.25,2.0,2.75,3.75,3.0,4.0,4.25,3.5,2.75,2.0,3.25,2.0,2.25
Mario,Badwagon,Standard Normal,3.75,2.25,2.75,3.75,2.75,4.25,3.75,3.75,3.5,2.5,2.75,2.75,2.5
Mario,Badwagon,Monster,4.25,1.75,3.0,4.25,2.5,4.25,3.5,3.75,3.0,1.75,2.25,2.0,2.0
Mario,Badwagon,Roller,3.25,2.75,2.25,3.5,3.25,3.75,3.75,3.25,3.5,2.75,3.0,3.0,2.75
Mario,Badwagon,Slim,3.75,1.75,3.25,2.75,2.5,4.5,3.5,4.25,3.25,2.75,3.0,2.75,2.75
Mario,Badwagon,Slick,4.0,1.5,3.25,2.5,2.0,4.75,3.0,4.25,2.75,2.25,2.0,2.5,2.0
Mario,Badwagon,Metal,4.25,1.25,2.5,3.0,2.0,4.75,3.75,3.5,3.25,2.25,2.5,2.25,1.75
Mario,Badwagon,Button,3.25,2.5,2.5,3.25,3.0,4.0,3.5,3.75,3.25,2.5,2.75,3.0,2.25
Mario,Badwagon,Off-Road,4.0,2.0,3.0,4.0,2.25,4.5,4.0,3.75,3.0,2.0,2.25,2.5,2.25
Mario,Badwagon,Sponge,3.5,2.25,2.75,4.0,3.0,4.0,3.25,3.5,3.75,2.25,2.25,2.5,2.5
Mario,Badwagon,Wood Wooden,3.75,1.75,3.25,2.75,2.5,4.5,3.5,4.25,3.25,2.75,3.0,2.75,2.75
Mario,Badwagon,Cushion,3.5,2.25,2.75,4.0,3.0,4.0,3.25,3.5,3.75,2.25,2.25,2.5,2.5
Mario,Badwagon,Blue Standard Normal Blue,3.75,2.25,2.75,3.75,2.75,4.25,3.75,3.75,3.5,2.5,2.75,2.75,2.5
Mario,Badwagon,Hot Monster Funky Monster,4.25,1.75,3.0,4.25,2.5,4.25,3.5,3.75,3.0,1.75,2.25,2.0,2.0
Mario,Badwagon,Azure Roller,3.25,2.75,2.25,3.5,3.25,3.75,3.75,3.25,3.5,2.75,3.0,3.0,2.75
Mario,Badwagon,Crimson Slim,3.75,1.75,3.25,2.75,2.5,4.5,3.5,4.25,3.25,2.75,3.0,2.75,2.75
Mario,Badwagon,Cyber Slick,4.0,1.5,3.25,2.5,2.0,4.75,3.0,4.25,2.75,2.25,2.0,2.5,2.0
Mario,Badwagon,Retro Off-Road,4.0,2.0,3.0,4.0,2.25,4.5,4.0,3.75,3.0,2.0,2.25,2.5,2.25
Mario,Badwagon,Gold Tires Gold Wheels,4.25,1.25,2.5,3.0,2.0,4.75,3.75,3.5,3.25,2.25,2.5,2.25,1.75
Mario,Badwagon,GLA Tires GLA Wheels,3.75,2.25,2.75,3.75,2.75,4.25,3.75,3.75,3.5,2.5,2.75,2.75,2.5
Mario,Badwagon,Triforce Tires Triforce Tyres,4.0,2.0,3.0,4.0,2.25,4.5,4.0,3.75,3.0,2.0,2.25,2.5,2.25
Mario,Badwagon,Leaf Tires Leaf Tyres,3.25,2.5,2.5,3.25,3.0,4.0,3.5,3.75,3.25,2.5,2.75,3.0,2.25
Mario,Badwagon,Ancient Tires Ancient Tyres,4.25,1.75,3.0,4.25,2.5,4.25,3.5,3.75,3.0,1.75,2.25,2.0,2.0
Mario,Prancer,Standard Normal,3.0,2.75,2.5,3.0,3.5,4.0,4.0,3.75,4.0,3.25,3.25,3.0,3.25
Mario,Prancer,Monster,3.5,2.25,2.75,3.5,3.25,4.0,3.75,3.75,3.5,2.5,2.75,2.25,2.75
Mario,Prancer,Roller,2.5,3.25,2.0,2.75,4.0,3.5,4.0,3.25,4.0,3.5,3.5,3.25,3.5
Mario,Prancer,Slim,3.0,2.25,3.0,2.0,3.25,4.25,3.75,4.25,3.75,3.5,3.5,3.0,3.5
Mario,Prancer,Slick,3.25,2.0,3.0,1.75,2.75,4.5,3.25,4.25,3.25,3.0,2.5,2.75,2.75
Mario,Prancer,Metal,3.5,1.75,2.25,2.25,2.75,4.5,4.0,3.5,3.75,3.0,3.0,2.5,2.5
Mario,Prancer,Button,2.5,3.0,2.25,2.5,3.75,3.75,3.75,3.75,3.75,3.25,3.25,3.25,3.0
Mario,Prancer,Off-Road,3.25,2.5,2.75,3.25,3.0,4.25,4.25,3.75,3.5,2.75,2.75,2.75,3.0
Mario,Prancer,Sponge,2.75,2.75,2.5,3.25,3.75,3.75,3.5,3.5,4.25,3.0,2.75,2.75,3.25
Mario,Prancer,Wood Wooden,3.0,2.25,3.0,2.0,3.25,4.25,3.75,4.25,3.75,3.5,3.5,3.0,3.5
Mario,Prancer,Cushion,2.75,2.75,2.5,3.25,3.75,3.75,3.5,3.5,4.25,3.0,2.75,2.75,3.25
Mario,Prancer,Blue Standard Normal Blue,3.0,2.75,2.5,3.0,3.5,4.0,4.0,3.75,4.0,3.25,3.25,3.0,3.25
Mario,Prancer,Hot Monster Funky Monster,3.5,2.25,2.75,3.5,3.25,4.0,3.75,3.75,3.5,2.5,2.75,2.25,2.75
Mario,Prancer,Azure Roller,2.5,3.25,2.0,2.75,4.0,3.5,4.0,3.25,4.0,3.5,3.5,3.25,3.5
Mario,Prancer,Crimson Slim,3.0,2.25,3.0,2.0,3.25,4.25,3.75,4.25,3.75,3.5,3.5,3.0,3.5
Mario,Prancer,Cyber Slick,3.25,2.0,3.0,1.75,2.75,4.5,3.25,4.25,3.25,3.0,2.5,2.75,2.75
Mario,Prancer,Retro Off-Road,3.25,2.5,2.75,3.25,3.0,4.25,4.25,3.75,3.5,2.75,2.75,2.75,3.0
Mario,Prancer,Gold Tires Gold Wheels,3.5,1.75,2.25,2.25,2.75,4.5,4.0,3.5,3.75,3.0,3.0,2.5,2.5
